age,edu,gender,housing,income,job_occupation,past_bad_credit,married,loan_amount,debt_to_income,credit_history_years,default_label
67,master,male,own,21938.59,salary_worker,0,1,3120.05,0.35,3.8,0
70,master,female,rent,36674.84,public_sector,0,1,3493.93,0.27,9.0,0
68,high_school,male,mortgage,16935.13,self_employed,0,0,8838.51,0.48,6.9,0
48,,female,own,23389.91,salary_worker,0,1,5807.32,0.28,11.4,0
31,master,male,own,12317.44,public_sector,1,0,6696.42,0.16,15.0,0
62,master,female,mortgage,28122.45,self_employed,0,1,6480.38,0.52,8.6,0
61,high_school,female,own,26991.52,self_employed,0,1,3999.93,0.19,5.5,0
70,bachelor,female,mortgage,34821.54,public_sector,0,0,7189.4,0.37,9.0,0
53,master,male,mortgage,14539.65,public_sector,0,0,8042.24,0.57,3.9,0
28,high_school,male,own,22329.2,,0,0,5881.16,,7.2,0
46,master,male,rent,,salary_worker,0,1,6149.88,0.32,17.3,0
43,high_school,female,mortgage,21790.99,salary_worker,0,1,7243.17,0.26,6.7,0
63,master,male,own,47420.25,self_employed,0,1,12719.21,0.36,8.7,0
40,high_school,female,rent,21071.17,salary_worker,0,1,7692.84,0.33,6.9,0
37,high_school,female,mortgage,13165.25,salary_worker,0,0,2808.82,0.51,5.9,0
25,phd,male,own,17926.84,public_sector,0,0,4202.26,0.23,9.4,0
62,master,male,rent,11790.76,salary_worker,0,1,13527.74,0.57,2.4,0
58,master,male,mortgage,13587.45,salary_worker,0,1,5557.58,0.63,6.8,1
23,phd,female,own,32923.57,retired,0,0,7718.17,0.39,2.1,0
42,bachelor,female,own,12697.65,public_sector,0,0,23357.89,0.2,13.7,1
44,high_school,male,own,28016.47,public_sector,0,0,11470.1,0.33,11.4,0
44,high_school,female,rent,24626.64,salary_worker,0,1,2485.98,0.32,4.4,0
66,bachelor,female,own,19164.45,self_employed,0,1,17938.41,0.66,0.1,0
28,high_school,male,rent,26965.34,retired,0,0,8798.23,0.32,9.5,0
36,master,male,rent,15963.38,salary_worker,0,0,9928.01,0.59,7.3,0
30,high_school,female,mortgage,35538.79,salary_worker,0,1,9578.67,0.36,16.5,0
33,high_school,female,rent,17778.53,salary_worker,0,1,13391.11,0.35,13.1,0
66,high_school,male,mortgage,20458.11,retired,0,0,7755.38,0.28,10.0,0
68,high_school,female,own,,salary_worker,0,0,3587.24,0.29,,0
23,high_school,female,rent,33198.6,self_employed,0,0,9681.18,0.5,,0
52,bachelor,female,mortgage,31101.14,self_employed,0,0,3789.54,0.21,8.7,0
32,high_school,male,own,7481.84,student,0,0,22007.17,0.51,8.9,0
30,bachelor,male,own,,salary_worker,0,1,6639.7,0.6,4.7,0
35,master,female,mortgage,11102.58,self_employed,1,0,7875.74,0.23,2.0,0
30,bachelor,female,mortgage,20877.04,student,0,0,5586.93,0.56,15.2,0
45,bachelor,male,rent,23186.41,salary_worker,0,0,9764.83,0.53,7.6,0
70,high_school,male,rent,20776.42,self_employed,0,0,10403.54,0.5,9.2,0
50,high_school,male,mortgage,30496.54,salary_worker,0,0,5578.71,0.23,4.1,0
57,high_school,female,rent,33658.96,salary_worker,0,0,10396.09,0.32,13.0,0
45,phd,male,mortgage,17187.55,salary_worker,0,1,8410.61,0.32,11.7,0
21,bachelor,male,own,16908.83,salary_worker,0,0,7686.89,0.72,7.7,0
25,high_school,male,own,23952.16,salary_worker,0,0,5359.65,0.34,8.3,0
34,bachelor,female,mortgage,12152.87,public_sector,0,0,28938.08,0.31,8.6,0
33,master,male,mortgage,19640.71,self_employed,0,0,15530.1,0.13,7.9,0
63,bachelor,female,rent,44651.14,salary_worker,0,1,12095.63,0.17,9.7,0
63,bachelor,female,own,12359.31,public_sector,0,0,15056.52,0.22,9.0,0
63,master,female,mortgage,20888.36,student,0,1,9556.24,0.41,6.8,0
52,bachelor,male,rent,18647.45,salary_worker,0,1,6686.64,0.08,2.8,0
48,bachelor,female,mortgage,60016.24,salary_worker,1,1,1893.75,0.22,7.4,0
53,high_school,male,own,19109.91,salary_worker,0,0,4144.58,0.01,10.5,0
41,high_school,male,rent,19615.69,retired,0,0,26655.85,0.59,10.2,0
54,phd,male,mortgage,15308.38,retired,0,0,15338.34,0.36,12.7,0
60,bachelor,female,mortgage,24445.34,self_employed,0,1,9056.84,0.4,13.2,0
59,high_school,male,rent,,salary_worker,0,0,3402.8,0.14,10.3,0
51,,female,mortgage,16340.16,self_employed,0,0,11488.79,0.55,8.2,0
23,high_school,female,rent,37984.19,public_sector,0,0,6954.02,0.61,8.9,0
57,master,female,rent,27501.03,salary_worker,1,0,11895.04,0.35,5.2,0
39,high_school,female,rent,35716.02,salary_worker,0,0,4395.98,0.25,10.7,0
58,master,male,mortgage,21001.29,salary_worker,0,0,6188.99,,12.8,0
47,bachelor,female,rent,27158.16,public_sector,0,1,13184.7,0.47,11.7,0
65,high_school,female,rent,22117.11,student,0,1,23395.45,0.5,9.7,0
37,high_school,male,mortgage,46908.62,salary_worker,0,0,5641.23,0.46,,0
67,master,female,own,25650.51,retired,0,0,4676.07,0.51,6.1,0
63,high_school,female,rent,24439.09,,0,0,14222.6,0.22,6.9,1
37,high_school,female,rent,19807.01,public_sector,0,1,4052.32,0.5,4.6,0
45,bachelor,female,mortgage,19299.15,retired,0,1,4215.76,0.26,8.6,0
47,high_school,male,own,27091.49,self_employed,0,1,9379.34,0.01,0.0,0
59,high_school,female,mortgage,35200.46,salary_worker,0,0,25517.68,0.26,5.3,0
55,high_school,female,rent,17889.14,salary_worker,0,0,5080.51,0.24,7.8,0
63,master,male,own,25769.85,public_sector,0,0,6611.95,0.38,17.5,0
39,high_school,female,mortgage,26446.43,self_employed,0,0,37281.86,0.49,7.5,0
46,high_school,male,rent,28602.91,salary_worker,0,1,6247.93,0.37,7.7,0
42,high_school,male,rent,11289.48,,0,0,3066.34,0.7,4.2,0
66,high_school,female,own,16056.52,salary_worker,1,0,12595.27,0.25,14.4,0
36,high_school,female,rent,13165.7,salary_worker,0,1,8977.52,0.01,4.2,0
50,high_school,female,rent,24705.92,public_sector,0,1,9914.72,0.39,15.6,0
27,high_school,female,mortgage,16229.11,salary_worker,0,0,7495.54,0.24,4.5,0
63,high_school,male,own,19471.2,salary_worker,0,1,18624.75,0.14,11.3,1
40,master,male,own,14222.4,salary_worker,0,0,6139.53,0.29,7.3,0
38,high_school,female,rent,20303.4,retired,0,0,4481.09,0.2,5.3,0
50,high_school,female,own,14678.71,salary_worker,0,0,20232.36,0.22,11.5,0
45,master,female,own,34236.88,salary_worker,1,1,2418.15,0.61,12.8,1
63,master,male,mortgage,30201.67,salary_worker,1,0,7445.84,0.36,6.8,0
47,bachelor,male,own,26045.58,salary_worker,0,0,7773.46,0.29,7.4,0
46,high_school,female,mortgage,21250.3,salary_worker,0,1,7608.31,0.63,5.8,0
26,high_school,male,rent,9730.7,salary_worker,0,0,3452.43,0.29,8.4,0
22,high_school,female,own,19807.32,salary_worker,0,0,4222.68,0.12,3.1,0
40,high_school,male,mortgage,17280.68,public_sector,0,0,13723.91,0.1,0.0,0
70,high_school,male,own,27208.19,salary_worker,0,0,17360.23,0.33,0.0,0
66,bachelor,male,mortgage,32172.53,salary_worker,0,0,6441.26,0.04,6.6,0
52,high_school,female,mortgage,28172.02,public_sector,0,0,4856.8,0.13,3.2,0
52,bachelor,female,mortgage,42974.72,salary_worker,0,0,3036.21,0.27,7.0,0
40,high_school,male,rent,18849.82,salary_worker,0,0,13593.04,0.54,5.5,0
29,high_school,female,rent,18501.38,student,0,0,14041.97,0.57,4.7,0
21,master,female,own,38833.76,self_employed,0,0,1726.87,0.46,4.9,0
37,master,male,mortgage,26233.63,public_sector,0,0,2136.34,0.34,11.4,0
36,high_school,male,own,21782.25,self_employed,0,0,8736.37,0.24,8.4,0
30,bachelor,male,rent,55878.47,student,0,0,9380.61,,13.8,0
33,high_school,male,own,31570.51,salary_worker,0,0,6232.11,0.66,7.9,0
22,high_school,male,rent,22342.7,salary_worker,0,0,7957.56,0.37,0.0,0
51,bachelor,female,rent,17877.98,public_sector,0,0,7072.85,0.26,3.3,0
67,high_school,male,rent,44219.92,salary_worker,0,1,8221.73,0.31,8.0,0
55,bachelor,male,rent,26719.49,self_employed,0,1,4936.93,0.29,8.5,0
43,bachelor,male,mortgage,24613.06,salary_worker,0,0,8048.67,0.44,5.2,0
42,high_school,female,rent,33002.03,salary_worker,0,0,5592.03,0.2,4.3,0
36,high_school,female,rent,36171.96,public_sector,0,0,5341.49,0.41,5.1,0
28,high_school,male,own,31177.17,self_employed,0,0,2902.16,0.44,6.9,0
50,phd,female,rent,36235.3,self_employed,0,1,7357.33,0.4,7.3,0
49,bachelor,female,own,29825.48,salary_worker,0,0,12602.31,0.14,3.1,0
21,high_school,male,rent,31247.69,salary_worker,1,0,6774.55,0.31,8.5,0
41,high_school,male,rent,17514.12,public_sector,0,0,6671.4,0.25,8.4,0
34,bachelor,female,mortgage,54976.4,salary_worker,0,0,16165.68,0.33,7.1,0
29,high_school,female,rent,13972.49,self_employed,0,0,14239.01,0.22,4.7,0
56,bachelor,female,rent,27979.29,self_employed,1,1,21036.63,0.56,10.2,0
47,bachelor,male,rent,13339.1,salary_worker,0,0,28040.27,0.37,12.8,0
52,bachelor,male,rent,23291.46,salary_worker,1,0,8372.58,0.05,5.7,0
56,high_school,female,rent,18824.56,public_sector,0,1,4287.92,0.1,5.0,0
70,high_school,female,own,25876.49,salary_worker,0,1,30003.38,0.56,9.4,0
61,high_school,female,rent,28389.96,salary_worker,0,1,11105.0,0.31,2.8,0
52,bachelor,female,rent,15829.8,student,0,0,17891.09,0.27,2.4,0
64,master,female,mortgage,24022.92,salary_worker,0,1,4551.11,0.54,4.9,0
44,high_school,male,rent,45576.77,public_sector,0,1,9324.52,0.31,8.7,0
70,bachelor,female,rent,13486.99,salary_worker,0,0,5239.21,0.12,4.0,0
59,bachelor,female,own,16575.41,salary_worker,0,1,19112.32,0.14,7.4,0
53,high_school,female,rent,35858.63,self_employed,0,1,7413.91,0.45,0.0,0
66,high_school,female,mortgage,25207.57,salary_worker,0,0,9993.12,0.71,10.0,0
46,high_school,female,rent,26056.43,public_sector,0,1,24779.68,0.49,13.3,0
57,bachelor,female,own,38562.52,salary_worker,0,0,10522.79,0.27,3.9,0
35,bachelor,female,mortgage,17028.93,self_employed,0,0,6397.05,0.3,9.3,0
69,bachelor,female,rent,19269.89,public_sector,1,0,5841.96,0.35,6.7,0
52,master,male,rent,18229.77,self_employed,0,1,7295.67,0.01,7.9,0
60,bachelor,female,own,20812.49,salary_worker,0,0,5016.92,0.34,6.5,0
44,phd,male,mortgage,44479.56,salary_worker,1,1,8749.98,0.45,6.3,0
64,bachelor,male,own,11322.12,salary_worker,1,1,2151.28,0.66,4.2,1
24,master,female,own,14222.8,retired,1,0,7214.47,0.54,3.1,0
26,master,female,rent,13166.65,self_employed,0,0,7535.61,0.69,11.9,0
46,,female,own,45741.55,self_employed,0,1,4279.72,0.64,0.8,0
57,master,female,rent,18462.93,salary_worker,1,0,6567.06,0.59,7.4,0
61,master,male,own,21015.11,salary_worker,0,0,15002.22,0.34,7.2,0
43,bachelor,female,rent,11771.24,salary_worker,0,0,15609.38,0.4,7.3,0
53,bachelor,male,own,21631.94,salary_worker,1,1,6043.71,0.04,10.2,0
48,bachelor,male,rent,35951.81,salary_worker,1,0,10806.65,0.36,6.0,0
69,master,male,mortgage,27277.86,,0,1,3553.98,0.44,10.1,0
53,bachelor,male,mortgage,23189.65,salary_worker,0,0,6885.08,0.29,15.4,0
41,master,male,mortgage,12037.73,self_employed,1,0,9199.86,0.06,6.9,0
69,master,male,mortgage,21003.02,self_employed,0,1,18766.15,0.62,0.0,0
26,phd,male,own,26006.76,salary_worker,0,0,15615.85,0.41,6.9,1
70,high_school,female,mortgage,15579.0,public_sector,0,1,9089.83,0.65,6.5,0
28,bachelor,female,rent,32685.96,self_employed,0,0,4908.2,0.47,9.1,0
35,bachelor,female,mortgage,36253.12,salary_worker,0,0,17105.98,0.59,0.0,0
62,master,female,own,19189.3,public_sector,1,0,6719.99,0.55,8.8,0
57,master,male,own,33746.25,self_employed,0,0,10369.97,0.22,5.8,0
69,bachelor,female,own,23170.08,self_employed,0,1,7575.01,0.25,10.7,0
58,bachelor,male,mortgage,40790.81,retired,0,0,24239.36,0.26,5.4,0
52,high_school,male,mortgage,60801.38,salary_worker,0,1,5793.41,0.17,11.0,0
38,phd,female,mortgage,14881.15,self_employed,1,0,13412.46,0.66,1.5,0
21,high_school,male,own,34415.69,salary_worker,0,0,7727.01,0.35,7.6,0
27,bachelor,female,own,43793.21,salary_worker,1,0,11081.22,0.42,3.6,0
35,master,male,mortgage,15727.94,salary_worker,1,0,19751.93,0.1,5.5,0
23,bachelor,male,own,18792.17,salary_worker,0,0,2690.51,0.49,18.4,0
46,high_school,female,own,18697.22,salary_worker,0,1,7816.84,0.27,3.7,0
59,high_school,male,own,22931.08,self_employed,1,1,4955.55,0.57,6.0,0
69,master,female,own,20736.19,salary_worker,0,1,10354.25,0.22,2.9,0
45,bachelor,male,mortgage,22265.02,salary_worker,1,0,11851.76,0.58,6.3,0
64,high_school,male,own,35493.14,salary_worker,0,0,6255.63,0.51,6.9,0
70,bachelor,female,mortgage,10372.2,salary_worker,0,1,6080.68,0.26,4.6,0
63,high_school,male,mortgage,15705.21,self_employed,0,1,9064.25,0.6,13.8,0
44,master,male,own,32907.89,self_employed,0,0,4022.82,0.55,12.1,0
37,high_school,male,rent,31217.97,public_sector,0,0,9732.93,0.43,3.7,0
69,high_school,male,own,15118.22,student,0,1,5168.1,0.16,10.8,0
33,high_school,male,own,31315.42,salary_worker,0,0,12130.84,0.48,5.6,0
41,bachelor,female,own,44226.97,salary_worker,0,0,3925.17,0.35,2.6,0
24,bachelor,male,mortgage,23811.84,retired,0,0,5931.32,0.35,4.6,0
60,bachelor,male,rent,15466.28,self_employed,1,0,5360.83,0.35,2.5,1
53,bachelor,female,rent,36088.5,student,1,1,6877.52,0.33,11.3,0
25,high_school,female,mortgage,52858.32,public_sector,0,0,17274.51,0.18,4.0,0
32,high_school,female,mortgage,16337.8,public_sector,1,0,12903.86,0.07,12.7,0
48,high_school,female,own,24776.81,salary_worker,0,1,6224.03,0.03,8.1,0
48,master,female,rent,39758.15,salary_worker,0,1,6221.06,0.39,5.9,0
61,high_school,female,own,25640.06,self_employed,0,1,13186.15,0.01,5.5,0
34,phd,male,own,11089.09,self_employed,0,0,4271.94,0.47,14.5,0
67,high_school,female,own,29718.88,public_sector,0,1,8203.45,0.43,7.5,0
43,high_school,female,rent,15670.51,student,1,0,5807.06,0.29,5.5,0
62,high_school,male,rent,13741.49,,0,1,7372.94,0.52,10.9,0
32,,female,mortgage,11187.06,salary_worker,0,0,12644.9,0.29,9.8,0
22,master,female,own,41592.84,retired,0,0,5607.79,0.42,3.5,0
23,bachelor,male,mortgage,16720.32,public_sector,0,0,13846.41,0.01,7.5,0
39,high_school,male,own,28282.58,public_sector,0,0,27167.39,0.01,0.3,0
68,bachelor,male,rent,31587.9,self_employed,0,1,11296.01,0.3,7.4,0
23,,female,own,26181.77,student,0,0,7736.87,0.42,8.8,0
39,master,female,mortgage,27818.51,,0,0,15312.49,0.51,9.3,0
26,phd,male,own,28896.38,salary_worker,0,0,4403.41,0.31,3.5,0
67,bachelor,male,own,25903.77,salary_worker,0,1,18705.82,,4.5,0
54,master,male,own,17290.77,salary_worker,0,0,5355.15,0.48,8.5,0
59,master,male,mortgage,16610.63,public_sector,0,1,26700.88,0.32,12.5,0
56,bachelor,female,own,,salary_worker,0,0,5462.07,0.45,,0
53,bachelor,female,own,22999.46,self_employed,0,1,11660.19,0.14,5.3,0
59,high_school,male,mortgage,29530.94,salary_worker,0,1,3436.59,0.04,11.4,0
21,bachelor,male,rent,39964.33,public_sector,0,0,7206.31,0.24,8.0,1
64,phd,female,own,28417.41,salary_worker,0,1,4474.58,0.48,8.2,0
57,high_school,male,own,,self_employed,0,1,3667.13,0.21,10.7,0
57,master,female,mortgage,9122.32,salary_worker,0,1,15725.45,0.46,7.1,0
40,master,male,mortgage,17222.61,self_employed,0,1,4125.1,0.16,3.8,0
61,high_school,female,rent,13292.82,salary_worker,0,0,5408.41,0.24,6.9,0
40,bachelor,male,mortgage,17524.1,self_employed,0,0,5072.63,0.38,11.9,0
23,master,female,mortgage,27147.08,self_employed,0,0,15166.05,0.22,15.1,0
66,phd,male,own,25285.23,student,0,1,14180.52,0.25,2.6,0
32,high_school,male,rent,56172.35,retired,0,1,16295.79,0.01,14.0,0
26,high_school,female,rent,30254.09,salary_worker,0,0,5257.68,0.49,6.0,0
52,bachelor,male,own,57476.15,salary_worker,0,1,17022.31,0.32,7.6,1
32,high_school,male,own,33584.26,salary_worker,1,0,5233.1,0.17,14.3,0
63,high_school,male,mortgage,39678.63,salary_worker,0,1,5350.37,0.67,5.9,0
43,high_school,female,rent,20712.53,salary_worker,0,0,5517.61,0.2,6.4,0
21,high_school,male,own,15009.98,retired,0,0,5629.24,0.25,4.9,0
68,bachelor,male,rent,19889.91,retired,0,1,7708.41,0.17,7.7,0
46,bachelor,male,own,24213.33,salary_worker,0,1,5108.79,0.54,8.7,0
34,bachelor,female,rent,18348.97,public_sector,0,0,9202.92,0.6,4.8,0
54,master,male,own,15513.81,public_sector,0,0,1929.14,0.58,13.3,0
47,high_school,female,rent,29365.53,salary_worker,0,0,9186.41,0.58,4.5,0
22,high_school,female,own,15484.14,retired,0,0,4450.07,0.23,,0
58,high_school,female,rent,12209.0,student,0,1,5607.31,0.64,7.6,0
41,high_school,female,mortgage,14692.04,student,0,0,5682.27,0.3,12.5,0
55,high_school,female,rent,21906.53,public_sector,0,1,13612.51,0.06,4.3,0
65,high_school,female,own,15585.35,salary_worker,0,0,10694.99,0.26,9.8,0
51,high_school,male,own,21968.38,salary_worker,0,0,7397.9,0.4,17.2,0
54,high_school,male,rent,31894.85,student,0,1,5467.74,0.22,1.7,0
33,bachelor,female,rent,31523.84,salary_worker,0,0,12463.79,0.37,3.9,0
32,bachelor,male,rent,18081.21,salary_worker,0,0,21743.94,0.44,15.8,0
41,master,male,own,13537.6,salary_worker,0,1,7979.28,0.41,7.0,0
63,master,male,mortgage,18787.92,self_employed,0,1,3364.13,0.46,8.0,1
47,bachelor,male,rent,,salary_worker,0,0,5504.97,0.31,6.2,0
38,high_school,male,mortgage,36320.53,public_sector,0,1,11021.12,0.21,14.1,0
59,bachelor,male,mortgage,28532.54,self_employed,0,0,6351.89,0.08,1.0,0
63,high_school,male,mortgage,41799.77,salary_worker,0,1,5052.9,0.32,12.4,0
66,bachelor,male,own,,salary_worker,0,1,4933.48,0.24,1.6,0
35,high_school,female,mortgage,19585.55,self_employed,0,0,8522.14,0.32,1.2,0
56,bachelor,male,own,47522.26,public_sector,0,1,3485.6,0.01,3.2,0
50,high_school,male,mortgage,21649.83,retired,0,0,7950.09,0.07,,0
43,bachelor,male,rent,38519.96,retired,0,0,8507.1,0.43,4.6,0
40,master,male,mortgage,33485.16,salary_worker,0,0,6328.15,0.05,4.4,0
26,master,female,mortgage,9999.83,public_sector,0,0,4566.15,0.31,3.8,0
34,bachelor,female,mortgage,15759.49,self_employed,1,0,14187.58,0.19,3.9,1
48,bachelor,male,rent,14050.6,self_employed,0,1,3893.14,0.18,3.8,0
65,high_school,male,mortgage,10917.03,public_sector,0,1,8910.65,0.36,8.4,0
64,bachelor,male,rent,36159.38,salary_worker,1,1,12091.58,0.35,5.0,0
30,bachelor,male,mortgage,61756.06,self_employed,0,0,8845.86,0.44,0.0,0
54,high_school,male,own,21677.87,public_sector,0,1,15948.98,0.14,7.4,0
25,high_school,male,mortgage,35752.32,salary_worker,0,0,4339.58,0.18,10.5,0
54,master,female,own,47480.83,public_sector,0,0,5244.83,0.54,6.4,0
38,bachelor,male,rent,26735.55,salary_worker,0,1,6287.52,0.3,2.5,0
43,bachelor,female,rent,24067.29,self_employed,0,0,49507.69,,10.5,0
56,bachelor,male,rent,21795.1,public_sector,0,1,10713.84,0.25,2.0,0
42,high_school,female,own,31004.93,salary_worker,0,1,11875.81,0.42,6.2,0
61,bachelor,male,mortgage,36084.27,salary_worker,0,1,11606.75,0.01,7.4,0
47,high_school,female,mortgage,29965.81,self_employed,0,1,8462.09,0.55,11.8,0
70,bachelor,female,mortgage,29506.28,salary_worker,0,0,14431.82,0.26,9.8,0
52,bachelor,male,mortgage,23788.53,salary_worker,0,1,2896.72,0.12,8.5,0
35,high_school,male,own,11886.64,public_sector,0,0,9436.46,0.15,11.2,0
59,master,female,own,36460.05,salary_worker,0,1,10254.99,0.29,2.9,0
41,high_school,male,own,13655.79,self_employed,0,1,14189.49,0.32,13.8,0
47,bachelor,female,rent,32167.87,salary_worker,0,0,4291.43,0.37,0.0,0
27,bachelor,female,own,,salary_worker,0,0,4468.69,0.13,13.2,0
26,bachelor,female,mortgage,14571.25,salary_worker,0,0,4626.78,0.5,4.1,0
49,bachelor,male,own,18517.84,student,0,1,10799.73,0.25,9.0,0
30,phd,male,mortgage,63238.18,self_employed,0,0,10884.79,0.24,13.3,0
70,bachelor,male,rent,23487.72,salary_worker,0,0,4805.94,0.3,9.7,0
63,bachelor,male,mortgage,14057.39,salary_worker,1,1,23221.92,0.46,9.0,0
56,bachelor,male,rent,34905.36,self_employed,0,0,9485.35,0.33,11.0,0
57,high_school,male,mortgage,17193.66,self_employed,0,0,8675.98,0.24,1.6,0
50,high_school,male,rent,10257.5,salary_worker,0,0,7228.63,0.28,2.2,0
24,bachelor,female,own,30757.72,salary_worker,0,0,13517.92,0.56,8.6,0
40,high_school,female,own,16115.26,self_employed,0,0,10038.89,0.53,6.7,0
45,high_school,female,rent,28128.39,public_sector,0,0,22912.05,0.41,6.2,1
66,high_school,male,own,,public_sector,0,0,4156.19,0.37,12.5,0
31,bachelor,male,rent,33464.55,self_employed,0,0,3463.17,0.76,12.1,0
45,high_school,female,own,26438.44,public_sector,1,1,5393.6,0.42,3.8,1
38,master,male,mortgage,7592.04,self_employed,0,0,10985.62,0.37,9.3,0
27,bachelor,male,rent,28908.92,self_employed,0,0,6403.18,0.3,1.2,0
26,bachelor,female,own,21367.38,self_employed,1,0,16302.36,0.4,1.1,0
39,high_school,female,mortgage,46051.84,salary_worker,0,0,6525.96,0.01,3.9,0
25,bachelor,female,own,29081.09,retired,0,0,14691.87,0.52,7.3,0
24,high_school,female,mortgage,34209.92,salary_worker,1,0,5131.13,0.11,4.9,0
38,bachelor,male,own,17681.19,,0,0,15532.33,0.21,,0
31,high_school,male,own,17059.62,self_employed,0,0,17206.36,0.09,7.4,0
48,phd,female,rent,24063.65,retired,0,1,5939.43,0.21,12.0,0
21,high_school,female,rent,20696.56,salary_worker,0,0,10606.89,0.28,9.7,0
36,bachelor,female,own,44449.28,retired,1,0,9388.52,0.5,3.3,0
43,high_school,female,mortgage,22720.13,salary_worker,0,0,10766.44,0.57,11.1,0
69,bachelor,female,rent,14028.27,salary_worker,0,0,16423.04,0.69,4.1,1
52,,male,mortgage,16774.05,retired,0,1,13839.28,0.36,9.1,0
65,high_school,male,own,37581.72,salary_worker,0,1,10751.09,0.3,5.5,0
38,high_school,male,own,22578.07,self_employed,0,0,11668.86,0.48,12.8,0
43,high_school,female,mortgage,22041.44,self_employed,0,1,4031.53,0.19,10.4,0
42,high_school,male,mortgage,39225.58,retired,0,1,7922.75,0.17,4.7,0
65,phd,female,own,16128.72,public_sector,0,0,4421.23,0.27,,0
68,high_school,female,rent,,salary_worker,0,1,8022.56,0.33,20.6,0
69,high_school,male,rent,,,0,0,14976.61,0.01,2.5,0
58,phd,male,rent,27144.78,salary_worker,0,1,8071.71,0.53,4.6,0
46,high_school,female,mortgage,21757.63,self_employed,0,0,2042.49,0.38,4.8,0
48,high_school,male,rent,12061.9,public_sector,0,0,4556.27,0.48,2.9,0
70,bachelor,male,mortgage,38454.34,public_sector,0,1,11154.5,0.06,3.3,0
35,master,male,rent,26201.54,public_sector,0,0,6023.88,0.22,7.1,0
38,bachelor,male,own,29000.16,public_sector,0,0,12470.41,0.21,9.4,0
65,bachelor,female,own,29402.2,self_employed,0,0,4171.52,0.3,1.1,0
40,phd,male,own,13570.64,retired,0,0,9996.05,,5.5,0
32,high_school,female,own,27897.59,salary_worker,0,0,10276.03,0.5,4.3,0
49,phd,female,mortgage,36620.16,salary_worker,0,1,12512.03,0.36,2.8,0
37,master,male,mortgage,40665.67,public_sector,1,1,5651.26,0.21,11.5,0
65,master,male,mortgage,33676.94,salary_worker,0,0,12442.66,0.73,4.4,0
66,high_school,female,rent,30665.95,salary_worker,0,1,18557.09,0.29,2.0,0
36,high_school,male,mortgage,11138.47,public_sector,0,0,2321.61,0.18,11.0,0
47,bachelor,male,mortgage,,self_employed,0,1,8336.82,0.01,12.5,0
70,bachelor,male,mortgage,15828.09,salary_worker,0,1,3000.42,0.36,8.5,0
58,bachelor,female,own,43346.25,salary_worker,0,0,5048.73,0.46,3.7,0
31,master,female,rent,40484.35,salary_worker,1,0,5280.54,0.13,6.4,0
50,bachelor,female,mortgage,15871.21,salary_worker,1,1,7812.28,0.45,4.9,0
51,high_school,female,own,23844.52,salary_worker,1,0,9973.11,0.36,7.3,0
53,high_school,female,own,27223.32,public_sector,1,0,13329.58,0.02,10.4,0
22,high_school,female,own,36510.53,salary_worker,0,0,9369.47,0.45,7.4,0
35,high_school,female,own,11452.6,public_sector,0,0,11736.93,0.29,7.5,0
63,high_school,female,rent,9006.21,student,0,1,4477.52,0.14,5.4,0
33,master,male,mortgage,24764.51,salary_worker,0,0,14489.25,0.51,10.2,0
35,bachelor,male,own,7792.07,student,0,0,1322.52,0.51,9.0,0
37,bachelor,female,own,26143.54,salary_worker,0,0,18763.72,0.13,0.1,0
29,high_school,male,rent,31776.86,public_sector,0,0,16999.85,0.39,0.4,0
28,bachelor,female,mortgage,42456.53,student,0,0,12240.8,0.38,6.2,0
38,master,female,own,18395.19,public_sector,0,1,27609.94,0.33,11.4,0
64,master,male,own,,salary_worker,1,1,3004.6,0.25,12.2,0
21,bachelor,female,own,32636.27,salary_worker,0,0,12440.16,0.31,10.6,0
35,master,female,own,14341.69,salary_worker,0,0,8728.15,0.51,6.9,0
24,bachelor,female,mortgage,36750.48,student,0,0,9267.3,0.41,13.4,0
49,bachelor,male,rent,27541.63,salary_worker,0,1,4272.85,0.01,4.6,0
33,master,male,mortgage,18537.47,self_employed,0,0,10068.27,0.01,6.1,0
60,high_school,female,rent,25942.07,salary_worker,0,0,9811.43,0.01,1.8,0
50,high_school,female,mortgage,,salary_worker,0,0,5545.39,0.1,6.1,0
60,high_school,female,own,34580.09,salary_worker,0,1,7802.65,0.2,4.1,0
52,bachelor,male,rent,20698.01,,1,0,3932.47,0.26,13.7,0
42,bachelor,female,own,26962.19,self_employed,0,0,6519.35,0.33,12.9,0
64,bachelor,male,rent,18408.74,salary_worker,0,0,13745.27,0.33,7.8,1
44,bachelor,male,mortgage,15962.07,salary_worker,0,0,13897.22,0.33,9.4,0
68,high_school,female,mortgage,26296.46,self_employed,0,1,12366.99,0.55,5.1,0
70,master,male,own,16259.86,salary_worker,0,1,13742.01,0.04,,0
50,high_school,female,own,34900.66,public_sector,0,0,13841.21,0.4,4.5,0
54,master,female,mortgage,31777.21,self_employed,0,0,5687.63,0.4,10.5,0
33,high_school,female,mortgage,17252.26,self_employed,0,0,9766.86,0.11,9.3,0
61,bachelor,female,own,26801.18,salary_worker,0,0,14731.29,0.44,5.9,0
54,bachelor,male,own,17216.7,salary_worker,1,1,3794.24,0.41,10.5,0
66,master,male,rent,11826.04,public_sector,0,1,3782.25,0.33,5.6,0
34,high_school,female,mortgage,18606.17,retired,0,0,3668.88,0.01,2.9,0
